,変換前,変換後
0,123横浜西口店,123横浜西口店
1,ARROW平塚店,ARROW平塚店
2,BIG BOSS 1000,BIGBOSS1000
3,BIG PANDORA井土ヶ谷店新館,BIG PANDORA井土ヶ谷店 新館
4,BIG PANDORA浅草店 本館,BIG PANDORA浅草店 本館
5,D’STATIONWAKO鹿島店,DステーションWAKO鹿島店
6,D’STATION伊勢崎店,Dステーション伊勢崎店
7,D’STATION坂戸店,Dステーション坂戸店
8,D’STATION太田矢島店,Dステーション太田矢島店
9,D’STATION富岡店,Dステーション富岡店
10,D’STATION沼田総本店,Dステーション沼田総本店
11,D’STATION渋川インター店,Dステーション渋川インター店
12,D’STATION館林店,Dステーション館林店
13,KING BOSS 1000,KING BOSS 1000
14,MGM小山本郷店,MGM小山本郷店
15,PIA上野,PIA上野
16,PIA京急川崎,PIA京急川崎
17,PIA八王子,PIA八王子
18,PIA川崎ダイス,PIA川崎ダイス
19,PIA柏スロット館,PIA柏 スロット館
20,PIA町田 新館,PIA町田新館
21,SAP草加店,SAP草加
22,SLOT M&M綱島店,SLOT BAR M's
24,Super D’STATIONガーデン前橋店,スーパーDステーションガーデン前橋店
25,Super D’STATION上里店,スーパーDステーション上里店
26,Super D’STATION前橋大利根店,スーパーDステーション前橋大利根店
27,Super D’STATION大間々店,スーパーDステーション大間々店
28,Super D’STATION太田店,スーパーDステーション太田店
29,Super D’STATION金古店,スーパーDステーション金古店
31,Super D’STATION鴻巣店,スーパーDステーション鴻巣店
32,ZAPP黒磯,マルハン黒磯店
33,ZAP京急久里浜店,ZAP PRESTIGE
34,せんげん台DUO,せんげん台DUO
35,つばめザ・ブーム,つばめザ・ブーム
36,みずほ台UNO,みずほ台UNO
37,やすだ三郷店,やすだ三郷店
38,やすだ八潮店,やすだ八潮店
40,やすだ大和店,やすだ大和店
41,やすだ幕張店,やすだ幕張店
42,やすだ所沢店,やすだ所沢店
43,やすだ朝霞店,やすだ朝霞店
44,やすだ東大宮店,やすだ東大宮店
45,やすだ柏店,やすだ柏店
46,やすだ相模原店,マルハン相模原店
47,やすだ稲毛駅前店,やすだ稲毛駅前店
48,アサヒ2鹿島田店,アサヒ2鹿島田店
49,アスカ杉戸店,アスカ杉戸店
50,アスカ熊谷店,アスカ熊谷店
51,アスカ狭山店,アスカ狭山店
52,アビバANNEX & SQUARE,アビバアネックス・スクエア店
53,アビバ南足柄店,アビバ南足柄店
54,アビバ海老名店,アビバ海老名店
55,アビバ湘南台店,アビバ湘南台店
56,アビバ関内店,アビバ関内
57,アビバ鶴見店,アビバ鶴見店
58,アミューズメントコミュニティJURAKU王子店,ジュラク王子店
59,アミューズ千葉,アミューズ千葉店
60,アムディ野田,アムディ野田
61,アリーナ岩槻本店,アリーナ岩槻本店
62,アリーナ平塚店,アリーナ平塚店
63,アリーナ桶川店,アリーナ桶川坂田店
64,アリーナ鶴瀬店,アリーナ鶴瀬店
65,イーグル袖ヶ浦店,イーグルNO.1
66,ウエスタン浦安やなぎ通り店,ウエスタン浦安やなぎ通り店
67,ウエスタン環七南葛西店,ウエスタン環七南葛西店
68,エクス・アリーナ東京,エクスアリーナ東京
69,エスパス日拓溝の口駅前本館,エスパス日拓溝の口駅前新館
70,オータ川島店,オータ川島店
73,ガイアネクスト行徳店,ガイアネクスト南行徳店
77,キコーナ伊勢佐木店,キコーナ伊勢佐木店
78,キコーナ小田原扇町店,キコーナ小田原扇町店
81,キコーナ鶴見中央店,キコーナ鶴見店
82,クリエ湘南台店,クリエ湘南台店
83,グランキコーナ相模原,グランキコーナ相模原店
84,グランドオータ厚木店,グランドオータ厚木店
85,グランドオータ瀬谷店,グランドオータ瀬谷店
86,グランドホール金目店,グランドホール金目店
87,コンサートホール今泉店,コンサートホール今泉店
88,コンパル橋本,コンパル橋本
89,ゴードン西川口店,メビウス西川口店
90,サンクステーション,サンクステーション
91,サンパレス大杉店,サンパレス環七大杉店
92,サンラッキー三ノ輪店,サンラッキー中央林間店
93,サンラッキー市川店,サンラッキー市川店
94,ザッププレステージ店,ZAP PRESTIGE
95,ジアスセンター南,ジアスセンター南
96,ジアス上大岡,ジアス上大岡
97,ジャムフレンドクラブ日高,ジャムフレンドクラブ日高
98,ジャムフレンドクラブ朝霞,ジャムフレンドクラブ朝霞店
99,ジャラン谷在家店,ジャラン谷在家店
100,スーパーBOSS,SuperBOSS
101,スーパーライブガーデン小山喜沢店,スーパーライブガーデン小山喜沢店
102,チャレンジャー町田野津田,チャレンジャー野津田店
103,チャンピオン田名,チャンピオン田名店
104,テンダーBOSS,WonderBOSS
105,ニュークラウン川越2号店,ニュークラウン川越2号店
106,パチンコどんじゃら,パチンコどんじゃら
107,パチンコクリエ十日市場店,クリエ十日市場店
108,パラッツォ三郷中央店,パラッツォ三郷中央店
109,パラッツォ川越店,パラッツォ川越店
110,パラッツォ志津店,パラッツォ志津店
111,パラッツォ新検見川店,パラッツォ新検見川店
112,パラッツォ湘南台店,パラッツォ湘南台店
113,パラッツォ船橋店,パラッツォ船橋店
114,パラッツォ葛西店,パラッツォ葛西店
115,パラッツォ蕨店,パラッツォ蕨店
116,パラッツォ赤坂店,パラッツォ赤坂店
117,パラッツォ馬橋駅前店,パラッツォ馬橋駅前店
118,パラッツォ鳩ヶ谷店,パラッツォ鳩ヶ谷店
119,パールショップともえ7G・E・T葉山店,パールショップともえ7G・E・T葉山
120,パールショップともえセンター南店,パールショップともえセンター南店
121,パールショップともえ八日市場店,パールショップともえ八日市場店
122,パールショップともえ大和560,パールショップともえ大和560
123,パールショップともえ富里802,パールショップともえ富里802
124,パールショップともえ川越店,パールショップともえ川越店
125,パールショップともえ市原店,パールショップともえ市原店
126,パールショップともえ成田969,パールショップともえ成田969
127,パールショップともえ木更津店,パールショップともえ木更津店
128,パールショップともえ松戸店,パールショップともえ松戸店
129,パールショップともえ淵野辺店,パールショップともえ淵野辺店
130,パールショップともえ稲毛長沼店,パールショップともえ稲毛長沼店
131,ビックディッパー新橋1号店,ビックディッパー新橋1号店
132,ビックマーチ宇都宮店,ビックマーチ宇都宮店
133,ビックマーチ真岡店,ビックマーチ真岡店
