イベント日,アナスロ店舗名,平均G数,平均差枚,総台数,都道府県,一般並び(スロ),並び人数(スロ),土日
2023-01-01,アスカ杉戸店,3078.712121212121,-51.888888888888886,198,埼玉県,49.0,48.0,1
2023-01-01,アリーナ平塚店,967.9758064516129,54.189516129032256,248,埼玉県,27.0,12.0,1
2023-01-01,オータ川島店,3782.413953488372,-64.26046511627906,215,埼玉県,25.0,169.0,1
2023-01-01,ジアスセンター南,3580.9194312796208,108.88625592417061,211,神奈川県,23.0,198.0,1
2023-01-02,アスカ杉戸店,3670.6717171717173,-257.04040404040404,198,埼玉県,54.0,39.0,0
2023-01-02,サンパレス環七大杉店,3979.9411764705883,162.1360294117647,272,東京都,84.0,150.0,0
2023-01-03,アスカ杉戸店,3816.191919191919,-307.9191919191919,198,埼玉県,65.0,65.0,0
2023-01-03,アムディ野田,2037.3583333333333,-88.1875,240,千葉県,53.0,59.0,0
2023-01-04,PIA上野,5747.235294117647,364.59215686274507,255,東京都,140.0,483.0,0
2023-01-04,アリーナ平塚店,1462.0887096774193,-12.806451612903226,248,埼玉県,45.0,20.0,0
2023-01-04,リッチランド,3051.5704225352115,-212.01408450704224,284,神奈川県,24.0,63.0,0
2023-01-04,出玉王田無店,4116.416666666667,32.87,300,東京都,42.0,356.0,0
2023-01-05,123横浜西口店,7066.4126506024095,,332,神奈川県,40.0,600.0,0
2023-01-05,WonderBOSS,3567.3804347826085,75.72282608695652,184,栃木県,27.0,25.0,0
2023-01-05,アリーナ岩槻本店,2314.2206703910615,-151.5,358,埼玉県,90.0,80.0,0
2023-01-05,アリーナ鶴瀬店,3941.028776978417,-135.32374100719426,139,埼玉県,70.0,44.0,0
2023-01-05,エスパス日拓溝の口駅前新館,2247.9124579124577,-65.993265993266,297,神奈川県,16.0,28.0,0
2023-01-05,パラッツォ三郷中央店,2283.642307692308,-200.9576923076923,520,埼玉県,31.0,41.0,0
2023-01-06,MGM小山本郷店,5588.4638888888885,462.13055555555553,360,栃木県,100.0,310.0,0
2023-01-06,ジアス上大岡,4191.282352941176,-455.6235294117647,255,神奈川県,35.0,27.0,0
2023-01-06,ジャムフレンドクラブ朝霞店,5336.85294117647,562.8319327731092,238,埼玉県,47.0,387.0,0
2023-01-06,パールショップともえ成田969,3656.6163069544364,-192.01438848920864,417,千葉県,87.0,85.0,0
2023-01-06,ミリオン習志野店,2083.9830508474574,-193.66101694915255,118,千葉県,8.0,1.0,0
2023-01-06,第一プラザ霞ヶ関店,2751.1428571428573,140.80714285714285,140,埼玉県,26.0,26.0,0
2023-01-07,PIA上野,5840.274509803921,612.756862745098,255,東京都,221.0,500.0,1
2023-01-07,SLOT,3483.5308641975307,330.44444444444446,162,,,,1
2023-01-07,みずほ台UNO,3235.9333333333334,-11.39047619047619,210,埼玉県,35.0,39.0,1
2023-01-07,グランキコーナ相模原店,5981.649635036496,-48.0632603406326,411,神奈川県,120.0,360.0,1
2023-01-07,ジュラク王子店,3147.116094986807,16.53034300791557,379,東京都,32.0,103.0,1
